dataset	model_name	runs_dir	model_params	pairwise_xai	epoch	precision	recall	f1	auroc	auprc	train_loss	val_loss	a1	a10	n	d	L	dm	ly	bs	ep	taumax	h	nperm	noise	gamma	w	rho
var_nonlocal_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8	transformer	../runs/var_nonlocal_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/transformer_dm8_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'transformer', 'd_model': 8, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.9714	0.9444	0.9577	0.9918	0.9912	0.08	0.1952	00.75	0.75	400	3	50	8	2	32	100	25						
var_nonlocal_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8	lstm	../runs/var_nonlocal_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/lstm_h64_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'lstm', 'd_model': None, 'hidden': 64, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.8	0.9	0.8471	0.9281	0.9269	0.2727	0.3455	00.75	0.75	400	3	50		2	32	100	25	64					
var_nonlocal_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8	lstm	../runs/var_nonlocal_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/lstm_h32_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'lstm', 'd_model': None, 'hidden': 32, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.76	0.95	0.8444	0.92	0.9147	0.3147	0.3854	00.75	0.75	400	3	50		2	32	100	25	32					
var_nonlocal_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8	transformer	../runs/var_nonlocal_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/transformer_dm64_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'transformer', 'd_model': 64, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	1.0	0.9556	0.9773	0.9981	0.9986	0.0045	0.0494	00.75	0.75	400	3	50	64	2	32	100	25						
var_nonlocal_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8	transformer	../runs/var_nonlocal_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/transformer_dm16_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'transformer', 'd_model': 16, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.9714	0.9444	0.9577	0.9987	0.9985	0.0587	0.0528	00.75	0.75	400	3	50	16	2	32	100	25						
var_nonlocal_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8	lstm	../runs/var_nonlocal_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/lstm_h8_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'lstm', 'd_model': None, 'hidden': 8, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.7778	0.7	0.7368	0.8188	0.8292	0.5058	0.5311	00.75	0.75	400	3	50		2	32	100	25	8					
var_nonlocal_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8	transformer	../runs/var_nonlocal_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/transformer_dm32_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'transformer', 'd_model': 32, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.9574	1.0	0.9783	0.9943	0.9952	0.0468	0.0826	00.75	0.75	400	3	50	32	2	32	100	25						
var_nonlocal_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8	lstm	../runs/var_nonlocal_a100.75_a90.8_edge10[1,2]_edge9[0,1]_n400_d3_L50_split_ratio0.8/lstm_h16_ly2/bs32_ep100/batch_size16_interaction_method.params.baselinezero_taumax25	{'model_name': 'lstm', 'd_model': None, 'hidden': 16, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': 'method.params.zero'}	100	0.8	0.9091	0.8511	0.9343	0.9477	0.3199	0.3647	00.75	0.75	400	3	50		2	32	100	25	16					
var_local_a10.05_n400_d3_L50	transformer	../runs/var_local_a10.05_n400_d3_L50/transformer_dm128_ly2/bs32_ep100/imih_nperm20_taumax25	{'model_name': 'transformer', 'd_model': 128, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': None}	100	0.7593	0.8367	0.7961	0.7841	0.8569	0.1082	1.4466	0.05	.05	400	3	50	128	2	32	100	25		20				
var_local_a10.05_n400_d3_L50	lstm	../runs/var_local_a10.05_n400_d3_L50/lstm_h32_ly2/bs32_ep100/imih_nperm20_taumax25	{'model_name': 'lstm', 'd_model': None, 'hidden': 32, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': None}	100	0.9091	0.4762	0.625	0.8233	0.8599	0.494	0.5543	0.05	.05	400	3	50		2	32	100	25	32	20				
var_local_a10.05_n400_d3_L50	transformer	../runs/var_local_a10.05_n400_d3_L50/transformer_dm64_ly2/bs32_ep100/imih_nperm20_taumax25	{'model_name': 'transformer', 'd_model': 64, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': None}	100	0.8085	0.9048	0.8539	0.9323	0.9435	0.0976	0.3496	0.05	.05	400	3	50	64	2	32	100	25		20				
var_local_a10.05_n400_d3_L50	transformer	../runs/var_local_a10.05_n400_d3_L50/transformer_dm16_ly2/bs32_ep100/imih_nperm20_taumax25	{'model_name': 'transformer', 'd_model': 16, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': None}	100	0.9714	0.8718	0.9189	0.9906	0.9903	0.1039	0.1672	0.05	.05	400	3	50	16	2	32	100	25		20				
var_local_a10.05_n400_d3_L50	transformer	../runs/var_local_a10.05_n400_d3_L50/transformer_dm16_ly2/bs32_ep100/imih_nperm10_taumax25	{'model_name': 'transformer', 'd_model': 16, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': None}	100	0.9286	0.8864	0.907	0.983	0.987	0.2872	0.1874	0.05	.05	400	3	50	16	2	32	100	25		10				
var_local_a10.05_n400_d3_L50	transformer	../runs/var_local_a10.05_n400_d3_L50/transformer_dm32_ly2/bs32_ep100/imih_nperm20_taumax25	{'model_name': 'transformer', 'd_model': 32, 'hidden': None, 'layers': 2}	{'interaction_method': None, 'num_permutations': None, 'tau_max': 25, 'baseline': None}	100	0.902	0.9787	0.9388	0.9723	0.9811	0.0993	0.2178	0.05	.05	400	3	50	32	2	32	100	25		20				
